VO	2572
VP	47
VR	178
VS	504
VT	101
VU	93
VV	10
VW	87
VY	216
WA	16704
WB	519
WC	585
WD	515
WE	16169
WF	420
WG	142
WH	16338
WI	16850
WJ	70
WK	129
WL	814
WM	501
WN	3431
WO	10418
WP	474
WQ	21
WR	1636
WS	2097
WT	1651
WU	124
WV	74
WW	679
WX	1
WY	462
WZ	56
XA	904
XB	70
XC	911
XD	68
XE	869
XF	169
XG	36
XH	217
XI	1138
XJ	8
XK	4
XL	76
XM	141
XN	26
XO	239
XP	2324
XQ	12
XR	74
XS	122
XT	2294
XU	130
XV	21
XW	150
XX	8
XY	90
YA	8355
YB	3528
YC	3779
YD	2586
YE	8012
YF	2685
YG	1106
YH	2868
YI	5749
YJ	569
YK	364
YL	2458
YM	3263
YN	1754
YO	9836
YP	3326
YQ	106
YR	2407
YS	8554
YT	9491
YU	841
YV	512
YW	4461
YX	8
YY	517
YZ	29
ZA	427
ZB	33
ZC	28
ZD	17
ZE	1216
ZF	14
ZG	6
ZH	71
ZI	463
ZJ	1
ZK	7
ZL	52
ZM	13
ZN	9
ZO	225
ZP	9
ZQ	1
ZR	74
ZS	104
ZT	56
ZU	57
ZV	11
ZW	41
ZY	66
ZZ	162
